battle,enemies,turns,hp_start,hp_end,damage_dealt,damage_taken,damage_blocked,toll_accrued,toll_peak,toll_enemy,toll_self,toll_status,absorb_used
1,Sputter,4,43,36,50,11,0,11,11,5,6,0,0
2,Saltdarner;Saltdarner,3,36,23,58,17,0,17,17,6,2,9,0
3,The Holdfast,7,23,0,154,43,0,50,27,30,20,0,0
