battle,enemies,turns,hp_start,hp_end,damage_dealt,damage_taken,damage_blocked,toll_accrued,toll_peak,toll_enemy,toll_self,toll_status
1,Sputter,4,70,66,48,4,5,4,4,0,4,0
2,Wardling,6,51,46,94,8,28,8,8,6,2,0
3,Picket;Tender,7,46,27,111,27,25,27,15,23,4,0
4,Saltdarner,2,22,22,36,1,5,1,1,1,0,0
5,The Holdfast,9,22,0,148,31,59,33,22,17,16,0
