battle,enemies,turns,hp_start,hp_end,damage_dealt,damage_taken,damage_blocked,toll_accrued,toll_peak,toll_enemy,toll_self,toll_status,absorb_used
1,Sputter,4,70,62,55,13,6,21,21,5,16,0,0
2,Wardling,6,41,21,110,24,21,24,24,4,20,0,0
3,Sputter,3,21,14,47,12,0,12,7,10,2,0,0
4,Wardling,6,14,6,92,14,15,14,14,6,8,0,0
5,Sputter,5,6,2,50,6,0,6,6,2,4,0,0
6,Wardling,2,2,0,28,2,9,2,2,0,2,0,0
